Setting Key,Context,Http Method,Http URL,Parameter description,Setting description
AllTaxEngines,Entity,POST,/settings/tax-engines,,Setting for all Tax Engines
CreateAvalaraTaxEngine,Entity,POST,/settings/tax-engines/avalara,,Setting for Avalara tax engine
AvalaraTaxEngine,Entity,GET,/settings/tax-engines/avalara/{id},id = Unique Id of avalara tax engine,Setting for Avalara tax engine
AvalaraTaxEngine,Entity,PUT,/settings/tax-engines/avalara/{id},id = Unique Id of avalara tax engine,Setting for Avalara tax engine
CreateConnectorTaxEngine,Entity,POST,/settings/tax-engines/connector,,Setting for connector tax engine
ConnectorTaxEngine,Entity,GET,/settings/tax-engines/connector/{id},id = Unique Id of connector tax engine,Setting for connector tax engine
ConnectorTaxEngine,Entity,PUT,/settings/tax-engines/connector/{id},id = Unique Id of connector tax engine,Setting for connector tax engine
ConnectorTaxEngine,Entity,DELETE,/settings/tax-engines/connector/{id},id = Unique Id of connector tax engine,Setting for connector tax engine
CreateGlobalTaxHubTaxEngine,Entity,POST,/settings/tax-engines/global-tax-hub,,Setting for global tax hub tax engine
GlobalTaxHubTaxEngine,Entity,GET,/settings/tax-engines/global-tax-hub/{id},id = Unique Id of global tax hub tax engine,Setting for global tax hub tax engine
GlobalTaxHubTaxEngine,Entity,PUT,/settings/tax-engines/global-tax-hub/{id},id = Unique Id of global tax hub tax engine,Setting for global tax hub tax engine
GlobalTaxHubTaxEngine,Entity,DELETE,/settings/tax-engines/global-tax-hub/{id},id = Unique Id of global tax hub tax engine,Setting for global tax hub tax engine
ZuoraTaxEngine,Entity,GET,/settings/tax-engines/ztax/{id},id = Unique Id of Zuora tax engine,Setting for Zuora tax engine
ZuoraTaxEngine,Entity,PUT,/settings/tax-engines/ztax/{id},id = Unique Id of Zuora tax engine,Setting for Zuora tax engine
AllTaxRatePeriod,Entity,GET,/settings/tax-rate-periods,,all tax rate periods
AllTaxRatePeriod,Entity,POST,/settings/tax-rate-periods,,all tax rate periods
TaxRatePeriod,Entity,GET,/settings/tax-rate-periods/{id},id = Unique Id of the Tax Rate Period,Setting for Zuora tax rate period
TaxRatePeriod,Entity,PUT,/settings/tax-rate-periods/{id},id = Unique Id of the Tax Rate Period,Setting for Zuora tax rate period
TaxRatePeriod,Entity,DELETE,/settings/tax-rate-periods/{id},id = Unique Id of the Tax Rate Period,Setting for Zuora tax rate period
TaxRates,Entity,GET,/settings/tax-rate-periods/{taxRatePeriodId}/tax-rates?size=<size>&page=<page>,page = The page number:size = The page size:taxRatePeriodId = Unique Id of tax rate period,Setting for tax rates
TaxRates,Entity,POST,/settings/tax-rate-periods/{taxRatePeriodId}/tax-rates,taxRatePeriodId = Unique Id of tax rate period,Setting for tax rates
TaxRates,Entity,DELETE,/settings/tax-rate-periods/{taxRatePeriodId}/tax-rates,taxRatePeriodId = Unique Id of tax rate period,Setting for tax rates
TranslationProfile,Entity,GET,/settings/translation-profiles/presentment-translation,,Setting to enable/disable PDF Translation
TranslationProfile,Entity,PUT,/settings/translation-profiles/presentment-translation,,Setting to enable/disable PDF Translation
AllUnitsOfMeasure,Entity,GET,/settings/units-of-measure,,List of all Units of Measure
AllUnitsOfMeasure,Entity,POST,/settings/units-of-measure,,List of all Units of Measure
UnitOfMeasure,Entity,GET,/settings/units-of-measure/{id},id = Unique Id of the Unit of Measure,Unit of Measure
UnitOfMeasure,Entity,PUT,/settings/units-of-measure/{id},id = Unique Id of the Unit of Measure,Unit of Measure
UnitOfMeasure,Entity,DELETE,/settings/units-of-measure/{id},id = Unique Id of the Unit of Measure,Unit of Measure
UserRoles,Entity,GET,/settings/user-roles?size=<size>&page=<page>,page = The page number:size = The page size,User Roles
AllTaxDateOptions,Entity,GET,/settings/tax-date-options,,List of all Tax Date Options
AllTaxDateOptions,Entity,POST,/settings/tax-date-options,,Add new Tax Date Options
TaxDateOption,Entity,PUT,/settings/tax-date-options/{id},Unique Id of the Tax Date Options,Update a Tax Date Option
TaxDateOption,Entity,DELETE,/settings/tax-date-options/{id},Unique Id of the Tax Date Options,Delete a Tax Date Option
AllDocumentTemplateAttachment,Entity,DELETE,/settings/document-template-attachments/{id},Unique Id of the Document Template Attachment,Delete a document template attachment
DocumentTemplateAttachment,Entity,GET,/settings/document-template-attachments,,List document template attachments
DocumentTemplateAttachment,Entity,POST,/settings/document-template-attachments,,Upload document template attachment
